Date,Open,High,Low,Close,Adj Close,Volume
2023-02-22,4.142000,4.164000,4.116000,4.151000,4.151000,0
2023-02-23,4.147000,4.189000,4.087000,4.105000,4.105000,0
2023-02-24,4.154000,4.243000,4.152000,4.210000,4.210000,0
2023-02-27,4.224000,4.224000,4.154000,4.173000,4.173000,0
2023-02-28,4.191000,4.229000,4.159000,4.168000,4.168000,0
2023-03-01,4.203000,4.279000,4.198000,4.263000,4.263000,0
2023-03-02,4.314000,4.350000,4.304000,4.325000,4.325000,0
2023-03-03,4.279000,4.317000,4.240000,4.253000,4.253000,0
2023-03-06,4.198000,4.276000,4.191000,4.271000,4.271000,0
2023-03-07,4.237000,4.329000,4.218000,4.315000,4.315000,0
2023-03-08,4.329000,4.351000,4.250000,4.336000,4.336000,0
2023-03-09,4.351000,4.358000,4.186000,4.221000,4.221000,0
2023-03-10,4.089000,4.119000,3.928000,3.954000,3.954000,0
2023-03-13,3.663000,3.742000,3.550000,3.666000,3.666000,0
2023-03-14,3.778000,3.909000,3.749000,3.798000,3.798000,0
2023-03-15,3.652000,3.652000,3.445000,3.578000,3.578000,0
2023-03-16,3.530000,3.750000,3.460000,3.742000,3.742000,0
2023-03-17,3.653000,3.653000,3.459000,3.466000,3.466000,0
2023-03-20,3.432000,3.624000,3.432000,3.575000,3.575000,0
2023-03-21,3.710000,3.757000,3.661000,3.746000,3.746000,0
2023-03-22,3.784000,3.800000,3.517000,3.573000,3.573000,0
2023-03-23,3.544000,3.575000,3.402000,3.417000,3.417000,0
2023-03-24,3.246000,3.423000,3.246000,3.409000,3.409000,0
2023-03-27,3.545000,3.610000,3.533000,3.595000,3.595000,0
2023-03-28,3.629000,3.686000,3.593000,3.662000,3.662000,0
2023-03-29,3.684000,3.722000,3.639000,3.675000,3.675000,0
2023-03-30,3.687000,3.727000,3.660000,3.663000,3.663000,0
2023-03-31,3.692000,3.699000,3.611000,3.611000,3.611000,0
2023-04-03,3.637000,3.649000,3.501000,3.529000,3.529000,0
2023-04-04,3.563000,3.577000,3.386000,3.388000,3.388000,0
2023-04-05,3.349000,3.366000,3.269000,3.344000,3.344000,0
2023-04-06,3.302000,3.374000,3.278000,3.357000,3.357000,0
2023-04-07,null,null,null,null,null,null
2023-04-10,3.468000,3.540000,3.454000,3.519000,3.519000,0
2023-04-11,3.507000,3.575000,3.488000,3.550000,3.550000,0
2023-04-12,3.554000,3.576000,3.402000,3.476000,3.476000,0
2023-04-13,3.493000,3.518000,3.413000,3.507000,3.507000,0
2023-04-14,3.504000,3.625000,3.498000,3.611000,3.611000,0
2023-04-17,3.647000,3.703000,3.632000,3.693000,3.693000,0
2023-04-18,3.677000,3.705000,3.646000,3.675000,3.675000,0
2023-04-19,3.749000,3.750000,3.708000,3.722000,3.722000,0
2023-04-20,3.668000,3.682000,3.616000,3.640000,3.640000,0
2023-04-21,3.616000,3.673000,3.581000,3.661000,3.661000,0
2023-04-24,3.637000,3.637000,3.590000,3.605000,3.605000,0
2023-04-25,3.517000,3.517000,3.418000,3.442000,3.442000,0
2023-04-26,3.466000,3.524000,3.423000,3.480000,3.480000,0
2023-04-27,3.485000,3.609000,3.478000,3.602000,3.602000,0
2023-04-28,3.560000,3.583000,3.509000,3.536000,3.536000,0
2023-05-01,3.574000,3.633000,3.534000,3.633000,3.633000,0
2023-05-02,3.597000,3.622000,3.442000,3.466000,3.466000,0
2023-05-03,3.445000,3.452000,3.361000,3.411000,3.411000,0
2023-05-04,3.295000,3.380000,3.205000,3.276000,3.276000,0
2023-05-05,3.344000,3.441000,3.344000,3.419000,3.419000,0
2023-05-08,3.476000,3.502000,3.453000,3.500000,3.500000,0
2023-05-09,3.474000,3.524000,3.471000,3.495000,3.495000,0
2023-05-10,3.498000,3.552000,3.359000,3.373000,3.373000,0
2023-05-11,3.347000,3.366000,3.282000,3.359000,3.359000,0
2023-05-12,3.376000,3.453000,3.355000,3.451000,3.451000,0
2023-05-15,3.484000,3.486000,3.436000,3.469000,3.469000,0
2023-05-16,3.444000,3.555000,3.444000,3.522000,3.522000,0
2023-05-17,3.508000,3.602000,3.507000,3.592000,3.592000,0
2023-05-18,3.611000,3.704000,3.611000,3.698000,3.698000,0
2023-05-19,3.714000,3.786000,3.660000,3.748000,3.748000,0
2023-05-22,3.739000,3.787000,3.718000,3.767000,3.767000,0
2023-05-23,3.808000,3.826000,3.739000,3.748000,3.748000,0
2023-05-24,3.734000,3.822000,3.734000,3.782000,3.782000,0
2023-05-25,3.812000,3.896000,3.786000,3.896000,3.896000,0
2023-05-26,3.887000,3.990000,3.868000,3.938000,3.938000,0
2023-05-29,null,null,null,null,null,null
2023-05-30,3.840000,3.890000,3.814000,3.826000,3.826000,0
2023-05-31,3.762000,3.812000,3.736000,3.743000,3.743000,0
2023-06-01,3.777000,3.786000,3.665000,3.701000,3.701000,0
2023-06-02,3.717000,3.856000,3.715000,3.842000,3.842000,0
2023-06-05,3.903000,3.919000,3.792000,3.830000,3.830000,0
2023-06-06,3.816000,3.882000,3.816000,3.856000,3.856000,0
2023-06-07,3.856000,3.960000,3.851000,3.919000,3.919000,0
2023-06-08,3.953000,3.958000,3.846000,3.856000,3.856000,0
2023-06-09,3.911000,3.938000,3.860000,3.920000,3.920000,0
2023-06-12,3.904000,3.954000,3.874000,3.917000,3.917000,0
2023-06-13,3.887000,4.024000,3.817000,4.021000,4.021000,0
2023-06-14,3.984000,4.094000,3.938000,4.009000,4.009000,0
2023-06-15,4.046000,4.071000,3.910000,3.924000,3.924000,0
2023-06-16,3.956000,4.038000,3.940000,3.992000,3.992000,0
2023-06-19,null,null,null,null,null,null
2023-06-20,3.955000,4.006000,3.919000,3.960000,3.960000,0
2023-06-21,3.990000,4.017000,3.934000,3.955000,3.955000,0
2023-06-22,3.969000,4.051000,3.936000,4.046000,4.046000,0
2023-06-23,3.970000,4.019000,3.929000,3.995000,3.995000,0
2023-06-26,3.949000,3.986000,3.927000,3.963000,3.963000,0
2023-06-27,3.965000,4.043000,3.943000,4.034000,4.034000,0
2023-06-28,4.004000,4.040000,3.967000,3.972000,3.972000,0
2023-06-29,4.016000,4.155000,4.016000,4.143000,4.143000,0
2023-06-30,4.159000,4.168000,4.101000,4.133000,4.133000,0
2023-07-03,4.193000,4.196000,4.091000,4.191000,4.191000,0
2023-07-04,null,null,null,null,null,null
2023-07-05,4.187000,4.255000,4.168000,4.255000,4.255000,0
2023-07-06,4.342000,4.495000,4.342000,4.366000,4.366000,0
2023-07-07,4.403000,4.438000,4.290000,4.337000,4.337000,0
2023-07-10,4.317000,4.358000,4.232000,4.246000,4.246000,0
2023-07-11,4.227000,4.259000,4.218000,4.239000,4.239000,0
2023-07-12,4.190000,4.206000,4.056000,4.070000,4.070000,0
2023-07-13,4.014000,4.042000,3.933000,3.935000,3.935000,0
2023-07-14,3.973000,4.040000,3.956000,4.031000,4.031000,0
2023-07-17,3.986000,4.051000,3.986000,4.001000,4.001000,0
2023-07-18,3.951000,4.007000,3.924000,4.001000,4.001000,0
2023-07-19,3.956000,4.015000,3.938000,3.972000,3.972000,0
2023-07-20,4.049000,4.127000,4.049000,4.100000,4.100000,0
2023-07-21,4.093000,4.102000,4.068000,4.093000,4.093000,0
2023-07-24,4.058000,4.139000,4.049000,4.127000,4.127000,0
2023-07-25,4.168000,4.207000,4.160000,4.193000,4.193000,0
2023-07-26,4.148000,4.197000,4.083000,4.083000,4.083000,0
2023-07-27,4.092000,4.260000,4.083000,4.251000,4.251000,0
2023-07-28,4.181000,4.221000,4.156000,4.195000,4.195000,0
2023-07-31,4.190000,4.206000,4.148000,4.179000,4.179000,0
2023-08-01,4.214000,4.253000,4.197000,4.249000,4.249000,0
2023-08-02,4.225000,4.290000,4.220000,4.241000,4.241000,0
2023-08-03,4.279000,4.315000,4.253000,4.301000,4.301000,0
2023-08-04,4.326000,4.402000,4.163000,4.163000,4.163000,0
2023-08-07,4.209000,4.209000,4.144000,4.151000,4.151000,0
2023-08-08,4.104000,4.125000,4.081000,4.113000,4.113000,0
2023-08-09,4.134000,4.135000,4.092000,4.128000,4.128000,0
2023-08-10,4.098000,4.225000,4.067000,4.202000,4.202000,0
2023-08-11,4.216000,4.310000,4.193000,4.308000,4.308000,0
2023-08-14,4.333000,4.381000,4.315000,4.356000,4.356000,0
